customer_id,join_date,region,segment,age,annual_spend,support_tickets,nps_score,products_owned,last_login_days
1,2023-09-11,South,SMB,28,22806.48,20,8,4,16
2,2023-06-25,South,Startup,42,4857.55,7,6,1,97
3,2022-01-30,Central,Startup,30,10911.5,8,6,3,143
4,2022-07-13,North,SMB,59,16847.46,13,6,3,23
5,2022-05-26,Central,Enterprise,33,34153.52,16,5,1,125
6,2023-02-02,West,Government,40,50529.52,18,1,3,147
7,2022-01-14,West,SMB,44,12949.39,12,2,4,1
8,2023-03-12,South,Enterprise,36,51681.71,7,7,4,141
9,2022-06-03,East,Enterprise,49,86579.26,6,9,2,74
10,2023-03-21,West,Enterprise,31,59357.31,19,6,2,135
11,2023-03-29,West,Government,61,42966.39,19,8,4,78
12,2022-10-18,South,SMB,30,21654.51,10,5,4,173
13,2023-01-19,West,Enterprise,60,31391.1,14,10,2,175
14,2023-04-27,West,SMB,36,14107.46,9,2,5,138
15,2022-04-18,North,SMB,45,9306.01,17,6,2,113
16,2022-08-08,South,Startup,25,13977.24,5,1,4,123
17,2023-11-28,South,SMB,60,23064.47,14,9,1,66
18,2023-03-02,Central,Government,56,36846.52,2,5,5,135
19,2022-09-08,Central,Government,44,62033.03,17,8,5,177
20,2023-10-22,Central,Government,37,42269.23,4,10,3,97
21,2023-01-12,West,Government,27,48099.9,4,5,5,25
22,2022-05-11,East,Government,61,61503.1,5,6,5,170
23,2023-01-26,Central,Enterprise,52,55540.31,0,2,4,69
24,2023-07-15,Central,Enterprise,62,71985.38,3,4,1,175
25,2022-07-08,Central,Government,57,58806.97,6,3,1,110
26,2023-10-27,West,Enterprise,44,55605.34,15,1,2,24
27,2022-05-16,Central,Government,63,54694.74,7,3,1,72
28,2023-05-22,East,SMB,47,12267.09,16,5,2,138
29,2023-03-14,South,SMB,34,25346.67,2,8,1,172
30,2022-12-24,North,Government,46,40351.66,17,1,3,124
31,2023-08-01,Central,Startup,29,6324.05,12,5,2,143
32,2023-06-19,West,Government,28,36428.83,7,3,4,132
33,2023-01-30,West,Government,63,23549.14,13,9,4,177
34,2022-04-19,Central,Enterprise,42,58082.42,12,3,2,44
35,2022-03-30,East,Government,30,25326.63,18,6,2,105
36,2023-02-11,East,SMB,37,9466.39,14,8,2,159
37,2022-11-27,East,Startup,55,11948.22,11,7,5,172
38,2022-05-21,East,Startup,35,9296.87,15,2,5,86
39,2023-10-29,East,Enterprise,52,61983.48,14,8,1,5
40,2022-03-07,Central,Startup,59,7494.35,13,5,5,178
41,2022-02-06,South,Startup,50,9002.88,13,2,1,89
42,2023-03-03,East,Enterprise,45,62278.02,6,5,2,42
43,2022-07-04,East,SMB,59,16042.86,3,9,1,114
44,2022-09-10,North,Startup,39,5295.29,1,3,1,103
45,2023-06-07,North,SMB,52,19858.82,4,5,5,160
46,2023-11-23,West,Enterprise,40,75793.73,6,9,5,126
47,2022-06-07,East,Enterprise,27,77322.99,9,4,2,66
48,2022-01-07,East,Enterprise,42,64529.19,3,4,5,13
49,2023-07-10,North,Enterprise,39,88964.2,18,8,2,72
50,2023-10-05,North,Government,41,28672.26,4,7,3,65
51,2023-07-28,Central,Startup,32,12967.01,3,1,2,17
52,2023-10-29,North,SMB,37,13840.9,1,8,5,17
53,2022-09-28,South,Government,50,31391.7,15,6,5,49
54,2022-09-28,Central,Government,45,36317.81,7,6,3,159
55,2023-05-23,Central,Government,65,50116.03,18,10,4,63
56,2022-06-12,South,Government,52,57071.37,5,10,4,170
57,2022-09-25,South,SMB,42,14594.63,14,6,2,153
58,2023-03-11,West,Government,48,30220.99,4,2,1,37
59,2023-05-12,South,Startup,60,11864.49,1,8,5,16
60,2022-06-03,East,Government,48,38178.86,20,1,4,170
61,2023-05-11,North,SMB,29,13728.54,8,6,3,9
62,2022-03-24,East,SMB,38,23414.76,14,10,5,58
63,2022-05-06,Central,Startup,46,11192.68,14,6,3,49
64,2022-03-31,West,Enterprise,52,59717.01,17,4,4,125
65,2023-03-12,North,Government,61,39015.0,14,10,5,33
66,2023-06-14,West,SMB,28,18616.88,10,4,5,10
67,2022-01-20,East,Startup,39,5408.67,20,8,1,69
68,2022-02-21,East,SMB,35,24611.2,8,1,4,112
69,2023-03-07,North,Government,41,22886.28,12,5,4,42
70,2023-04-23,Central,Government,51,29454.02,0,1,2,51
71,2022-04-17,South,Government,48,43312.23,14,9,1,119
72,2023-04-09,West,Government,53,48919.45,17,4,1,53
73,2023-11-21,North,SMB,62,17798.5,11,6,2,148
74,2023-03-14,East,SMB,62,18892.08,20,7,1,30
75,2022-07-29,Central,Startup,45,7408.96,9,1,3,69
76,2023-11-06,North,Government,36,34623.94,11,9,1,132
77,2022-03-15,West,Government,63,41387.33,4,9,5,117
78,2022-08-19,West,Enterprise,48,36323.21,2,1,2,91
79,2022-08-05,East,SMB,64,26927.81,10,3,3,129
80,2022-03-04,North,Enterprise,61,55977.37,2,9,1,9
81,2023-08-10,Central,Government,40,29295.09,2,7,4,89
82,2023-09-27,South,Government,38,54566.12,10,1,1,9
83,2022-08-03,Central,Enterprise,25,53961.76,19,6,5,175
84,2023-05-01,South,Enterprise,32,66144.92,9,5,1,143
85,2023-09-25,South,SMB,42,18590.22,4,3,3,119
86,2022-03-27,East,Startup,32,7859.84,10,3,5,93
87,2022-10-18,Central,Startup,64,9817.34,2,2,5,105
88,2023-10-11,Central,Enterprise,33,37034.67,7,9,4,139
89,2023-02-10,North,Enterprise,59,44056.0,9,10,4,83
90,2022-05-29,West,Enterprise,34,64859.65,0,5,2,74
91,2022-01-18,Central,SMB,56,14124.52,3,10,5,32
92,2023-03-11,East,Startup,39,6781.33,15,4,1,156
93,2022-02-21,North,Enterprise,50,40440.02,19,2,2,156
94,2022-02-18,East,Enterprise,25,68709.67,8,1,4,60
95,2022-08-11,North,Startup,54,12600.5,15,4,1,13
96,2023-09-20,North,Government,43,60358.58,2,10,1,81
97,2023-07-30,East,SMB,27,18346.38,13,8,3,101
98,2022-09-07,North,Startup,46,12203.47,20,4,4,33
99,2022-04-18,Central,Enterprise,37,86532.32,2,7,3,69
100,2022-08-18,Central,Startup,41,5954.83,20,3,4,58
101,2022-06-16,West,SMB,39,17611.18,13,4,3,84
102,2023-07-31,West,SMB,52,12681.38,11,4,3,33
103,2023-11-12,South,Government,54,31994.78,16,1,4,109
104,2023-02-10,West,Enterprise,61,75143.94,10,5,3,161
105,2023-08-10,South,Startup,42,7527.7,10,2,4,111
106,2022-11-01,South,Startup,62,7109.15,15,4,5,66
107,2023-06-29,Central,Government,51,24117.57,1,6,5,65
108,2023-07-05,South,Government,27,53090.09,19,1,5,118
109,2023-10-31,North,SMB,30,22362.69,14,3,5,89
110,2023-06-09,North,SMB,25,18352.53,1,7,3,100
111,2022-01-24,South,SMB,51,18315.28,15,9,4,10
112,2022-04-02,East,Enterprise,41,44656.82,6,10,5,141
113,2023-11-28,North,Government,62,38538.39,10,1,3,77
114,2023-03-08,East,SMB,28,17886.11,5,1,4,170
115,2023-06-09,North,SMB,59,26123.79,14,4,5,137
116,2022-02-16,Central,Startup,39,9402.36,9,8,4,160
117,2022-08-01,North,Startup,46,12664.5,1,6,5,56
118,2023-05-14,Central,Startup,63,13909.22,16,7,1,16
119,2023-01-19,East,SMB,48,10283.02,16,7,5,157
120,2022-02-21,East,Startup,26,9520.1,16,9,3,59
121,2023-08-18,Central,Startup,26,14252.45,19,2,5,21
122,2022-10-24,Central,SMB,46,26460.65,5,7,3,40
123,2023-06-27,West,Enterprise,45,88803.14,14,4,1,172
124,2023-04-04,West,Government,60,25617.44,17,9,1,63
125,2022-02-11,East,Government,46,61487.05,8,2,1,3
126,2022-07-26,North,Government,62,46435.23,12,3,1,53
127,2023-08-11,South,SMB,59,25179.5,12,6,1,67
128,2022-05-16,East,SMB,34,19893.26,5,10,2,134
129,2022-11-11,North,Government,43,34891.08,7,9,3,93
130,2022-06-16,East,Government,63,52977.71,20,5,1,155
131,2023-04-21,South,Startup,53,5834.71,17,3,5,95
132,2022-07-30,South,SMB,37,22779.51,3,10,3,32
133,2022-06-11,North,Startup,42,12558.34,20,9,4,139
134,2023-11-04,Central,Government,27,43029.96,9,7,4,68
135,2022-03-02,Central,Enterprise,49,36524.58,8,4,3,98
136,2023-11-24,South,Enterprise,26,62242.3,7,3,1,29
137,2022-05-05,East,Enterprise,58,89283.24,9,9,4,166
138,2022-04-02,North,Startup,30,8732.01,11,6,3,124
139,2023-05-31,Central,Startup,30,7507.61,14,5,4,62
140,2022-12-19,East,Government,58,48070.04,10,8,4,123
141,2022-03-21,West,SMB,44,24927.06,8,8,4,145
142,2023-07-22,West,SMB,37,10484.48,2,10,4,89
143,2023-04-05,East,SMB,28,26041.47,9,6,2,120
144,2022-02-23,West,Startup,56,13186.48,6,2,3,56
145,2023-08-16,West,SMB,51,10524.18,4,9,2,175
146,2023-11-08,West,SMB,27,16954.23,11,1,3,113
