date,region,product,segment,sales_rep,revenue,units_sold,discount_pct,cost,profit,profit_margin
2023-01-01,North,Product A,Startup,Rep_4,3885.62,8,22.3,1826.23,2059.39,53.0
2023-01-01,West,Product A,Enterprise,Rep_2,3589.99,22,5.0,2152.1,1437.89,40.05
2023-01-01,Central,Product D,SMB,Rep_8,7814.38,51,20.1,4771.24,3043.14,38.94
2023-01-01,East,Product C,SMB,Rep_4,10167.07,53,2.4,6556.98,3610.09,35.51
2023-01-01,Central,Product C,Enterprise,Rep_8,7582.72,23,13.8,4858.73,2723.99,35.92
2023-01-01,Central,Product C,SMB,Rep_2,1764.49,6,2.0,888.49,876.0,49.65
2023-01-01,North,Product D,Startup,Rep_8,7289.19,23,5.2,3727.73,3561.46,48.86
2023-01-01,North,Product E,SMB,Rep_9,7638.45,23,24.7,4561.68,3076.77,40.28
2023-01-01,Central,Product B,Startup,Rep_1,3167.22,10,6.7,1578.94,1588.28,50.15
2023-01-01,Central,Product C,SMB,Rep_8,5944.91,16,6.6,3012.43,2932.48,49.33
2023-01-01,Central,Product E,Startup,Rep_10,5743.4,18,24.9,2767.26,2976.14,51.82
2023-01-01,West,Product A,Enterprise,Rep_2,2650.07,5,14.9,1427.05,1223.02,46.15
2023-01-01,Central,Product D,Startup,Rep_9,8332.38,17,17.0,4778.65,3553.73,42.65
2023-01-01,East,Product C,Enterprise,Rep_5,5585.28,9,21.9,2851.73,2733.55,48.94
2023-01-01,Central,Product B,Enterprise,Rep_5,9601.37,40,9.3,4677.37,4924.0,51.28
2023-01-01,Central,Product A,Startup,Rep_8,1882.49,3,20.8,980.27,902.22,47.93
2023-01-01,North,Product B,Enterprise,Rep_2,9331.22,15,13.3,4468.95,4862.27,52.11
2023-01-01,West,Product E,SMB,Rep_5,6767.64,11,23.2,4221.05,2546.59,37.63
2023-01-02,East,Product D,Startup,Rep_8,9989.39,38,1.6,4543.55,5445.84,54.52
2023-01-02,Central,Product B,SMB,Rep_1,2248.61,8,22.6,1456.46,792.15,35.23
2023-01-02,North,Product E,SMB,Rep_5,7238.85,34,23.4,4208.23,3030.62,41.87
2023-01-02,West,Product B,Government,Rep_7,2912.04,8,10.6,1623.22,1288.82,44.26
2023-01-02,North,Product A,Enterprise,Rep_7,9253.02,46,4.8,5305.18,3947.84,42.67
2023-01-02,South,Product D,SMB,Rep_5,6598.46,35,20.2,4268.36,2330.1,35.31
2023-01-02,North,Product A,Enterprise,Rep_2,11481.69,51,12.1,5731.22,5750.47,50.08
2023-01-02,West,Product A,SMB,Rep_7,1451.78,2,19.6,748.55,703.23,48.44
2023-01-02,Central,Product D,SMB,Rep_4,4945.08,12,13.6,3076.01,1869.07,37.8
2023-01-02,North,Product A,Government,Rep_9,10423.62,59,12.7,6731.67,3691.95,35.42
2023-01-02,North,Product E,Enterprise,Rep_4,6076.56,14,14.5,2790.0,3286.56,54.09
2023-01-03,West,Product E,Startup,Rep_5,3669.36,14,9.9,2218.09,1451.27,39.55
2023-01-03,East,Product D,Startup,Rep_2,1627.09,4,2.5,933.39,693.7,42.63
2023-01-03,Central,Product C,SMB,Rep_6,11089.36,35,3.9,7116.72,3972.64,35.82
2023-01-03,East,Product E,Enterprise,Rep_9,4574.93,7,3.4,2180.18,2394.75,52.35
2023-01-03,North,Product E,SMB,Rep_5,3827.71,12,17.2,2473.35,1354.36,35.38
2023-01-03,Central,Product D,Startup,Rep_1,2314.22,8,0.1,1451.84,862.38,37.26
2023-01-03,East,Product B,Government,Rep_9,8421.79,42,23.6,5128.32,3293.47,39.11
2023-01-03,South,Product E,Enterprise,Rep_6,6337.55,30,7.7,4162.29,2175.26,34.32
2023-01-03,North,Product C,SMB,Rep_4,7551.26,18,21.9,5089.42,2461.84,32.6
2023-01-04,South,Product B,SMB,Rep_7,1840.88,6,23.3,1168.06,672.82,36.55
2023-01-04,South,Product C,SMB,Rep_2,4447.15,12,5.0,2940.65,1506.5,33.88
2023-01-04,East,Product C,SMB,Rep_4,1550.85,5,21.6,1042.77,508.08,32.76
2023-01-04,East,Product C,Government,Rep_9,4005.49,7,6.5,2337.35,1668.14,41.65
2023-01-04,East,Product A,Enterprise,Rep_10,6050.18,20,15.2,3434.25,2615.93,43.24
2023-01-04,West,Product E,SMB,Rep_5,1870.9,4,20.2,1137.46,733.44,39.2
2023-01-04,South,Product C,Government,Rep_2,11950.36,27,16.6,5720.2,6230.16,52.13
2023-01-04,East,Product E,Startup,Rep_7,4892.36,12,4.8,2949.77,1942.59,39.71
2023-01-04,West,Product B,Startup,Rep_7,5740.8,20,10.7,3349.16,2391.64,41.66
2023-01-04,East,Product D,Government,Rep_8,8008.36,15,24.0,4959.35,3049.01,38.07
2023-01-05,North,Product C,Startup,Rep_2,10060.53,22,5.6,4988.01,5072.52,50.42
2023-01-05,North,Product A,SMB,Rep_8,7955.38,22,22.2,4633.25,3322.13,41.76
2023-01-05,West,Product D,Government,Rep_4,3063.64,5,21.5,2002.57,1061.07,34.63
2023-01-05,West,Product B,SMB,Rep_9,6052.99,10,3.0,2909.48,3143.51,51.93
2023-01-05,West,Product E,Startup,Rep_8,7860.82,20,20.8,4527.92,3332.9,42.4
2023-01-05,South,Product D,Government,Rep_5,9602.86,34,19.4,5391.6,4211.26,43.85
2023-01-05,South,Product C,Government,Rep_2,7681.66,25,22.3,3599.11,4082.55,53.15
2023-01-05,South,Product B,Government,Rep_3,7195.72,21,13.6,3926.19,3269.53,45.44
2023-01-05,South,Product D,Government,Rep_10,9058.3,16,14.4,5069.98,3988.32,44.03
2023-01-05,East,Product C,Government,Rep_7,7128.17,13,22.4,4008.12,3120.05,43.77
2023-01-05,East,Product D,Government,Rep_1,5486.73,10,18.1,3529.7,1957.03,35.67
2023-01-05,South,Product E,Enterprise,Rep_7,7526.77,40,10.7,4887.7,2639.07,35.06
2023-01-05,South,Product A,Startup,Rep_7,4567.41,15,22.0,2347.64,2219.77,48.6
2023-01-05,West,Product C,Enterprise,Rep_8,1686.61,2,8.7,1011.18,675.43,40.05
2023-01-05,North,Product A,SMB,Rep_4,9903.71,38,11.8,4717.23,5186.48,52.37
2023-01-05,South,Product D,Startup,Rep_6,3194.51,6,2.9,2039.5,1155.01,36.16
2023-01-05,East,Product A,Enterprise,Rep_5,7880.41,24,23.5,3905.66,3974.75,50.44
2023-01-05,Central,Product B,Enterprise,Rep_5,9953.4,48,24.6,6270.7,3682.7,37.0
2023-01-06,Central,Product D,Startup,Rep_2,6046.59,11,20.6,2867.74,3178.85,52.57
2023-01-06,East,Product D,SMB,Rep_7,3195.98,7,15.4,2114.18,1081.8,33.85
2023-01-06,West,Product D,Government,Rep_10,4491.73,8,2.2,2932.09,1559.64,34.72
2023-01-06,South,Product D,Government,Rep_6,1941.49,8,5.3,1229.94,711.55,36.65
2023-01-06,East,Product C,Startup,Rep_9,1790.19,9,18.0,1006.75,783.44,43.76
2023-01-06,South,Product D,Government,Rep_8,7998.15,32,17.3,4162.46,3835.69,47.96
2023-01-06,Central,Product C,Government,Rep_9,6441.92,13,8.3,3940.24,2501.68,38.83
2023-01-06,East,Product C,Startup,Rep_4,2397.79,11,13.4,1499.35,898.44,37.47
2023-01-06,South,Product B,SMB,Rep_8,4252.3,8,14.9,2872.5,1379.8,32.45
2023-01-06,South,Product C,SMB,Rep_6,2739.61,7,6.9,1846.74,892.87,32.59
2023-01-06,Central,Product C,SMB,Rep_8,2106.48,7,12.0,1112.98,993.5,47.16
2023-01-06,North,Product C,Government,Rep_2,9111.45,49,15.7,4212.5,4898.95,53.77
2023-01-06,South,Product E,Startup,Rep_2,9780.17,19,15.2,6179.8,3600.37,36.81
2023-01-07,Central,Product D,Government,Rep_8,4456.97,12,14.2,2067.38,2389.59,53.61
2023-01-07,North,Product B,SMB,Rep_5,7029.23,30,1.9,3167.48,3861.75,54.94
2023-01-07,West,Product E,Government,Rep_5,1680.39,6,21.5,783.69,896.7,53.36
2023-01-07,South,Product C,SMB,Rep_7,2371.42,10,6.6,1144.72,1226.7,51.73
2023-01-07,North,Product B,Startup,Rep_10,8867.6,31,3.1,5395.01,3472.59,39.16
2023-01-07,West,Product C,Government,Rep_8,1943.23,5,8.1,986.35,956.88,49.24
2023-01-07,North,Product B,Enterprise,Rep_5,7579.85,33,13.0,4181.9,3397.95,44.83
2023-01-07,East,Product B,Government,Rep_8,10707.91,32,8.0,5076.17,5631.74,52.59
2023-01-07,South,Product C,Government,Rep_8,4821.88,9,13.8,2674.26,2147.62,44.54
2023-01-07,East,Product C,Startup,Rep_2,10505.06,27,24.7,6316.29,4188.77,39.87
2023-01-07,Central,Product D,Government,Rep_1,3149.16,6,15.6,1967.59,1181.57,37.52
2023-01-08,East,Product E,SMB,Rep_5,6034.94,29,24.3,3560.86,2474.08,41.0
2023-01-08,South,Product B,Startup,Rep_9,1567.47,6,21.0,746.27,821.2,52.39
2023-01-08,North,Product B,Government,Rep_5,5943.54,11,24.5,3007.78,2935.76,49.39
2023-01-08,Central,Product B,Government,Rep_4,10376.65,19,21.6,5328.79,5047.86,48.65
2023-01-08,West,Product C,Startup,Rep_1,3948.06,9,25.0,2221.25,1726.81,43.74
2023-01-08,South,Product D,Government,Rep_6,5048.31,15,23.3,3281.44,1766.87,35.0
2023-01-08,South,Product E,Government,Rep_4,9457.26,32,11.8,6242.63,3214.63,33.99
2023-01-08,West,Product D,SMB,Rep_8,9557.44,16,8.3,4521.47,5035.97,52.69
2023-01-08,West,Product A,Government,Rep_1,8204.38,18,3.9,4577.9,3626.48,44.2
2023-01-08,East,Product C,Government,Rep_2,10699.33,19,9.5,5593.95,5105.38,47.72
2023-01-08,West,Product E,Enterprise,Rep_10,2222.92,3,24.9,1382.11,840.81,37.82
2023-01-09,North,Product A,Government,Rep_3,9145.8,53,19.9,4732.72,4413.08,48.25
2023-01-09,East,Product D,SMB,Rep_4,6721.9,13,4.2,3146.94,3574.96,53.18
2023-01-09,West,Product E,SMB,Rep_8,9165.16,25,6.3,4662.55,4502.61,49.13
2023-01-09,North,Product D,Startup,Rep_9,2948.05,9,14.7,1759.86,1188.19,40.3
2023-01-09,West,Product C,Government,Rep_5,3279.83,8,5.9,1907.36,1372.47,41.85
2023-01-09,Central,Product C,Startup,Rep_1,11407.62,41,14.1,6932.8,4474.82,39.23
2023-01-09,North,Product E,Government,Rep_5,8220.73,16,5.5,4058.82,4161.91,50.63
2023-01-09,East,Product B,Enterprise,Rep_1,4374.04,10,18.3,2058.99,2315.05,52.93
2023-01-09,East,Product C,Government,Rep_3,3705.85,6,9.1,2095.34,1610.51,43.46
2023-01-09,East,Product B,Startup,Rep_8,10125.97,18,20.1,5647.42,4478.55,44.23
2023-01-09,North,Product B,SMB,Rep_7,11773.7,37,19.8,5335.86,6437.84,54.68
2023-01-09,Central,Product A,Government,Rep_6,8365.95,20,20.6,5573.96,2791.99,33.37
2023-01-09,North,Product B,Government,Rep_1,8431.39,28,15.3,5050.07,3381.32,40.1
2023-01-09,West,Product C,Government,Rep_2,3203.65,11,12.3,1513.26,1690.39,52.76
2023-01-10,South,Product D,Government,Rep_6,8510.73,14,10.5,5282.8,3227.93,37.93
2023-01-10,South,Product D,Enterprise,Rep_8,8379.79,30,17.3,4189.66,4190.13,50.0
2023-01-10,West,Product B,Startup,Rep_2,10484.78,18,16.1,4864.17,5620.61,53.61
2023-01-10,East,Product B,Enterprise,Rep_8,2158.47,4,24.3,996.42,1162.05,53.84
2023-01-10,East,Product B,SMB,Rep_10,3796.83,9,14.7,2418.59,1378.24,36.3
2023-01-10,South,Product C,SMB,Rep_10,1669.78,7,3.2,847.66,822.12,49.24
2023-01-10,South,Product A,Enterprise,Rep_3,1764.6,6,8.1,864.79,899.81,50.99
